MSZoning,LotFrontage,LotArea,Street,LotShape,Utilities,Neighborhood,Condition1,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,ExterCond,Foundation,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PoolArea,SaleType,SaleCondition,SalePrice
RL,92,6930,Pave,IR1,AllPub,ClearCr,Norm,1Fam,SLvl,4,1958,1958,Hip,CompShg,Wd Sdng,BrkFace,TA,CBlock,TA,1062,GasA,Ex,Y,FuseF,1,3,1,Gd,6,Min2,0,BuiltIn,1958,Unf,1,288,TA,0,WD,Abnorml,130000
RL,78,12011,Pave,IR1,AllPub,NoRidge,Norm,1Fam,2Story,5,1998,1998,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1086,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,Attchd,1998,RFn,2,592,TA,0,WD,Normal,280000
RL,NA,7540,Pave,IR1,AllPub,Mitchel,Norm,1Fam,SFoyer,6,1978,1978,Gable,CompShg,VinylSd,None,TA,CBlock,TA,888,GasA,Ex,Y,SBrkr,1,2,1,TA,5,Typ,1,Attchd,1978,RFn,2,470,TA,0,WD,Normal,156000
RL,NA,9144,Pave,Reg,AllPub,BrkSide,Norm,1Fam,1.5Fin,5,1940,1982,Gable,CompShg,MetalSd,None,TA,CBlock,TA,883,GasA,Gd,Y,SBrkr,1,3,1,TA,8,Typ,0,Detchd,1940,Unf,1,240,TA,0,WD,Normal,145000
RL,64,7301,Pave,Reg,AllPub,Edwards,Norm,1Fam,SFoyer,5,2003,2003,Gable,CompShg,HdBoard,BrkFace,TA,Slab,NA,0,GasA,Ex,Y,SBrkr,3,4,1,Gd,7,Typ,1,BuiltIn,2003,RFn,2,672,TA,0,ConLD,Normal,198500
RM,21,1680,Pave,Reg,AllPub,BrDale,Norm,Twnhs,2Story,8,1972,2007,Gable,CompShg,HdBoard,BrkFace,TA,CBlock,TA,483,GasA,Gd,Y,SBrkr,1,2,1,Gd,5,Typ,0,Detchd,1972,Unf,1,264,TA,0,WD,Normal,118000
RL,NA,18800,Pave,IR1,AllPub,NWAmes,Norm,1Fam,2Story,5,1976,1976,Gable,CompShg,HdBoard,BrkFace,TA,PConc,TA,796,GasA,TA,Y,SBrkr,2,3,1,TA,6,Typ,1,Attchd,1976,Fin,2,566,TA,0,WD,Normal,190000
RM,59,10690,Pave,Reg,AllPub,IDOTRR,Norm,1Fam,2Story,7,1920,1997,Hip,CompShg,VinylSd,None,Gd,CBlock,Fa,672,GasA,Gd,Y,FuseA,1,3,1,TA,6,Typ,0,Detchd,1964,Unf,1,468,Fa,0,WD,Normal,147000
RL,NA,9500,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,5,1963,1963,Gable,CompShg,Plywood,BrkFace,TA,CBlock,TA,1394,GasA,Gd,Y,SBrkr,1,3,1,TA,6,Typ,2,Attchd,1963,RFn,2,514,TA,0,WD,Normal,159000
RL,101,9150,Pave,IR1,AllPub,NAmes,Norm,1Fam,SLvl,5,1962,1962,Gable,Tar&Grv,Plywood,BrkFace,TA,CBlock,TA,1099,GasA,Gd,Y,SBrkr,1,3,1,TA,6,Typ,1,Basment,1962,RFn,1,296,TA,0,WD,Normal,165000
RL,78,7800,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,6,1954,1954,Gable,CompShg,HdBoard,BrkFace,TA,PConc,TA,1268,GasA,Gd,Y,SBrkr,1,2,1,TA,7,Typ,1,Attchd,1954,Fin,1,244,TA,0,WD,Normal,132000
RL,NA,9830,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,7,1959,2006,Gable,CompShg,Wd Sdng,None,Gd,CBlock,TA,1063,GasA,Ex,Y,SBrkr,1,3,1,Gd,7,Typ,1,Detchd,1997,Fin,2,576,TA,0,WD,Normal,162000
RL,NA,8121,Pave,IR1,AllPub,Gilbert,Norm,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,None,TA,PConc,TA,953,GasA,Ex,Y,SBrkr,2,3,1,TA,7,Typ,1,Attchd,2000,RFn,2,460,TA,0,WD,Normal,172400
RL,80,17120,Pave,Reg,AllPub,ClearCr,Feedr,1Fam,1.5Fin,4,1959,1959,Gable,CompShg,WdShing,None,TA,CBlock,NA,0,GasA,TA,Y,SBrkr,2,4,1,TA,7,Min2,1,Detchd,1991,Fin,2,680,TA,0,WD,Normal,134432
RL,50,7175,Pave,Reg,AllPub,SawyerW,Norm,TwnhsE,1Story,5,1984,1984,Gable,CompShg,Plywood,None,TA,CBlock,TA,744,GasA,TA,Y,SBrkr,1,2,1,TA,4,Typ,0,Attchd,1984,Unf,1,264,TA,0,WD,Normal,125000
RL,79,10634,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,6,1953,1953,Gable,CompShg,MetalSd,None,TA,PConc,TA,608,GasA,TA,Y,SBrkr,1,3,1,TA,5,Min2,0,Attchd,1953,Unf,1,270,TA,0,WD,Normal,123000
RL,65,8200,Pave,Reg,AllPub,CollgCr,Norm,1Fam,2Story,5,2003,2004,Gable,CompShg,VinylSd,None,TA,PConc,TA,847,GasA,Ex,Y,SBrkr,2,4,1,Gd,8,Typ,1,BuiltIn,2003,Fin,2,434,TA,0,WD,Normal,219500
RL,NA,10020,Pave,IR1,AllPub,Edwards,Norm,1Fam,1Story,1,1922,1950,Gable,CompShg,Wd Sdng,None,Fa,BrkTil,Po,683,GasA,Gd,N,FuseA,0,1,1,Fa,4,Maj1,0,NA,NA,NA,0,0,NA,0,WD,Normal,61000
RL,57,8846,Pave,IR1,AllPub,CollgCr,Norm,1Fam,SFoyer,5,1996,1996,Gable,CompShg,VinylSd,None,TA,PConc,TA,870,GasA,Ex,Y,SBrkr,1,2,1,TA,5,Typ,0,Detchd,1998,Unf,2,576,TA,0,WD,Normal,148000
FV,102,11143,Pave,IR1,AllPub,Somerst,Norm,1Fam,2Story,5,2004,2005,Gable,CompShg,CemntBd,None,TA,PConc,TA,1580,GasA,Ex,Y,SBrkr,3,4,1,Gd,8,Typ,1,Attchd,2004,RFn,2,610,TA,0,WD,Normal,340000
RL,88,11394,Pave,Reg,AllPub,StoneBr,Norm,1Fam,1Story,2,2010,2010,Hip,CompShg,VinylSd,Stone,TA,PConc,TA,1856,GasA,Ex,Y,SBrkr,1,1,1,Ex,8,Typ,1,Attchd,2010,Fin,3,834,TA,0,New,Partial,394432
RL,60,8123,Pave,IR1,AllPub,Gilbert,RRAn,1Fam,2Story,5,2000,2000,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,982,GasA,Ex,Y,SBrkr,2,3,1,TA,7,Typ,1,Attchd,2000,Fin,2,463,TA,0,WD,Normal,179000
RL,50,5000,Pave,Reg,AllPub,SWISU,Norm,1Fam,1.5Fin,6,1924,1950,Gable,CompShg,BrkFace,None,TA,BrkTil,TA,1026,GasA,TA,Y,SBrkr,2,3,1,Gd,6,Typ,1,Detchd,1924,Unf,1,308,TA,0,WD,Normal,127000
FV,60,7200,Pave,Reg,AllPub,Somerst,Norm,1Fam,1Story,5,2006,2006,Gable,CompShg,VinylSd,None,TA,PConc,Gd,1293,GasA,Ex,Y,SBrkr,2,2,1,Gd,5,Typ,1,Attchd,2006,RFn,2,572,TA,0,New,Partial,187750
RL,79,9245,Pave,IR1,AllPub,CollgCr,Norm,1Fam,2Story,5,2006,2006,Gable,CompShg,VinylSd,None,TA,PConc,TA,939,GasA,Ex,Y,SBrkr,2,3,1,Gd,8,Typ,0,Attchd,2006,RFn,2,639,TA,0,WD,Normal,213500
RH,60,9000,Pave,Reg,AllPub,SawyerW,Norm,1Fam,1.5Unf,3,1928,1950,Gable,CompShg,Wd Sdng,None,TA,BrkTil,Fa,784,GasA,TA,N,FuseA,1,2,1,TA,5,Typ,0,Detchd,1950,Unf,2,360,Fa,0,WD,Normal,76000
RL,NA,53107,Pave,IR2,AllPub,ClearCr,Feedr,1Fam,2Story,5,1992,1992,Gable,CompShg,HdBoard,None,TA,PConc,TA,1580,GasA,Ex,Y,SBrkr,2,3,1,Gd,9,Typ,2,Attchd,1992,Fin,2,501,TA,0,WD,Normal,240000
RL,43,3182,Pave,Reg,AllPub,Blmngtn,Norm,TwnhsE,1Story,5,2004,2005,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1256,GasA,Ex,Y,SBrkr,2,2,1,Gd,6,Typ,1,Attchd,2004,Fin,2,430,TA,0,WD,Normal,192000
RL,58,8410,Pave,Reg,AllPub,Edwards,Feedr,1Fam,1.5Fin,3,1910,1996,Gambrel,CompShg,Wd Sdng,None,Fa,PConc,TA,658,GasA,TA,Y,SBrkr,1,5,1,TA,8,Typ,0,NA,NA,NA,0,0,NA,0,WD,AdjLand,81000
RL,72,7200,Pave,Reg,AllPub,Edwards,Norm,1Fam,SLvl,6,1976,1976,Hip,CompShg,MetalSd,BrkFace,TA,CBlock,TA,1041,GasA,Ex,Y,SBrkr,1,3,1,TA,6,Typ,1,Detchd,1977,Unf,1,352,TA,0,WD,Abnorml,125000
RL,93,9382,Pave,IR1,AllPub,CollgCr,Norm,1Fam,1Story,5,1999,2000,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1468,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,0,Attchd,1999,RFn,2,577,TA,0,WD,Normal,191000
RL,96,12474,Pave,Reg,AllPub,NridgHt,Norm,1Fam,2Story,5,2007,2008,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1682,GasA,Ex,Y,SBrkr,2,3,1,Ex,9,Typ,1,BuiltIn,2008,Fin,3,846,TA,0,New,Partial,426000
RL,50,8405,Pave,Reg,AllPub,Edwards,Norm,1Fam,1.5Fin,8,1900,1950,Gable,CompShg,MetalSd,None,TA,BrkTil,Gd,861,GasA,Ex,Y,SBrkr,1,4,1,TA,7,Typ,0,Detchd,1978,Unf,1,384,TA,0,WD,Normal,119000
RL,71,12209,Pave,IR1,AllPub,Mitchel,Norm,1Fam,2Story,5,2001,2002,Gable,CompShg,VinylSd,None,TA,PConc,TA,804,GasA,Ex,Y,SBrkr,2,3,1,Gd,7,Typ,1,BuiltIn,2001,Fin,2,560,TA,0,WD,Normal,215000
RL,NA,8339,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,7,1959,1959,Gable,CompShg,MetalSd,None,TA,Slab,NA,0,GasA,TA,Y,SBrkr,1,3,1,TA,5,Typ,0,Attchd,1959,RFn,1,294,TA,0,WD,Normal,106500
RL,NA,7446,Pave,Reg,AllPub,BrkSide,Feedr,1Fam,1Story,5,1941,1950,Gable,CompShg,WdShing,None,TA,CBlock,TA,788,GasA,TA,Y,FuseA,1,2,1,TA,4,Typ,2,NA,NA,NA,0,0,NA,0,WD,Abnorml,100000
RL,60,10134,Pave,Reg,AllPub,OldTown,Norm,1Fam,1.5Fin,6,1940,1950,Gable,CompShg,MetalSd,None,TA,CBlock,TA,735,GasA,Gd,Y,FuseA,1,2,1,TA,5,Typ,0,Detchd,1940,Unf,1,240,TA,0,WD,Normal,109000
RL,68,9571,Pave,Reg,AllPub,Edwards,Norm,1Fam,1Story,6,1956,1956,Gable,CompShg,Wd Sdng,None,TA,CBlock,TA,1144,GasA,TA,Y,SBrkr,1,3,1,TA,6,Typ,0,Attchd,1956,Unf,1,596,TA,0,WD,Normal,129000
RL,60,7200,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,5,1972,1972,Hip,CompShg,MetalSd,None,TA,CBlock,TA,894,GasA,TA,Y,SBrkr,1,2,1,TA,6,Typ,0,Detchd,1985,RFn,2,600,TA,0,WD,Normal,123000
RL,69,7590,Pave,Reg,AllPub,NAmes,PosN,1Fam,2Story,5,1962,1962,Gable,CompShg,VinylSd,BrkFace,TA,CBlock,TA,864,GasA,TA,Y,SBrkr,2,4,1,TA,8,Typ,1,Attchd,1962,RFn,1,264,TA,0,WD,Normal,169500
RM,60,8967,Pave,Reg,AllPub,IDOTRR,Norm,1Fam,1Story,2,1920,1950,Gable,CompShg,MetalSd,None,Fa,BrkTil,Po,961,GasA,Gd,Y,Mix,1,2,1,TA,6,Maj2,0,Detchd,1920,Unf,1,338,Po,0,WD,Abnorml,67000
FV,65,8125,Pave,Reg,AllPub,Somerst,Norm,1Fam,2Story,5,2006,2007,Gable,CompShg,CemntBd,Stone,TA,PConc,TA,1092,GasA,Ex,Y,SBrkr,2,2,1,Gd,7,Typ,0,Attchd,2007,Fin,2,438,TA,0,WD,Normal,241000
RL,38,14963,Pave,IR2,AllPub,Veenker,Norm,TwnhsE,1Story,5,1996,1996,Gable,CompShg,BrkFace,None,TA,PConc,TA,1260,GasA,Ex,Y,SBrkr,1,1,1,Ex,4,Typ,2,Attchd,1996,Fin,2,500,TA,0,WD,Normal,245500
RL,65,8767,Pave,IR1,AllPub,CollgCr,Norm,1Fam,1Story,5,2005,2005,Gable,CompShg,VinylSd,None,TA,PConc,TA,1310,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,1,Attchd,2005,Fin,2,400,TA,0,New,Partial,164990
RL,60,10200,Pave,Reg,AllPub,Sawyer,Norm,1Fam,1Story,8,1940,1997,Gable,CompShg,Wd Sdng,None,TA,PConc,TA,672,GasA,Ex,Y,SBrkr,1,2,1,TA,4,Typ,0,Detchd,1940,Unf,1,240,TA,0,WD,Normal,108000
RL,93,12090,Pave,Reg,AllPub,NoRidge,Norm,1Fam,2Story,5,1998,1998,Hip,CompShg,VinylSd,BrkFace,TA,PConc,TA,1141,GasA,Gd,Y,SBrkr,2,4,1,Gd,10,Typ,1,BuiltIn,1998,Fin,2,420,TA,0,WD,Abnorml,258000
RL,NA,10364,Pave,IR1,AllPub,Gilbert,Norm,1Fam,2Story,5,1995,1996,Gable,CompShg,MetalSd,None,TA,PConc,TA,806,GasA,Gd,Y,SBrkr,2,3,1,TA,7,Typ,1,BuiltIn,1995,Fin,2,373,TA,0,WD,Normal,168000
RL,NA,9991,Pave,IR1,AllPub,Sawyer,Feedr,1Fam,1Story,4,1976,1993,Gable,CompShg,Plywood,None,TA,CBlock,TA,1281,GasA,Ex,Y,SBrkr,2,3,1,TA,8,Min1,1,Attchd,1993,Unf,2,490,TA,0,WD,Normal,150000
RL,51,10480,Pave,Reg,AllPub,SWISU,Norm,1Fam,1.5Fin,5,1936,1950,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,1064,GasA,Ex,Y,FuseA,1,3,1,TA,6,Maj2,0,Detchd,1936,Unf,1,240,TA,0,WD,Normal,115000
RL,63,15576,Pave,Reg,AllPub,Crawfor,Norm,1Fam,2Story,7,1915,1976,Gable,CompShg,Wd Sdng,None,TA,BrkTil,TA,840,GasA,Ex,Y,SBrkr,2,4,1,TA,8,Typ,0,Attchd,1960,Unf,1,308,TA,0,WD,Normal,177000
RL,109,14154,Pave,Reg,AllPub,NridgHt,Norm,1Fam,2Story,5,2006,2006,Gable,CompShg,VinylSd,BrkFace,TA,PConc,Gd,1063,GasA,Ex,Y,SBrkr,2,3,1,Gd,9,Typ,1,Attchd,2006,RFn,3,947,TA,0,New,Partial,280000
FV,85,10800,Pave,Reg,AllPub,Somerst,Norm,1Fam,2Story,5,2007,2008,Gable,CompShg,VinylSd,Stone,TA,PConc,TA,1034,GasA,Ex,Y,SBrkr,2,3,1,Ex,8,Typ,1,Attchd,2008,Fin,3,836,TA,0,New,Partial,339750
RL,68,9571,Pave,Reg,AllPub,Edwards,Norm,1Fam,1Story,3,1958,1958,Gable,CompShg,BrkComm,None,Fa,CBlock,Fa,1276,GasA,TA,Y,FuseA,1,3,1,TA,5,Mod,0,Attchd,1958,Unf,1,350,TA,0,COD,Abnorml,60000
RL,100,34650,Pave,Reg,AllPub,Gilbert,Norm,2fmCon,1Story,5,1955,1955,Hip,CompShg,Wd Sdng,None,TA,CBlock,TA,1056,GasA,TA,N,SBrkr,1,3,1,TA,5,Typ,0,Attchd,1955,Fin,2,572,TA,0,WD,Normal,145000
FV,NA,4403,Pave,IR2,AllPub,Somerst,Norm,1Fam,1Story,5,2009,2009,Gable,CompShg,MetalSd,Stone,TA,PConc,TA,1470,GasA,Ex,Y,SBrkr,2,2,1,Gd,7,Typ,1,Attchd,2009,Fin,2,484,TA,0,New,Partial,222000
RM,56,8960,Pave,Reg,AllPub,OldTown,Artery,1Fam,1Story,6,1927,1950,Gable,CompShg,WdShing,None,TA,CBlock,TA,1008,GasA,Gd,Y,FuseA,1,2,1,TA,5,Typ,1,Detchd,1927,Unf,2,360,TA,0,WD,Normal,115000
RL,59,11228,Pave,IR2,AllPub,SawyerW,Norm,1Fam,2Story,5,1993,1993,Gable,CompShg,VinylSd,None,TA,PConc,TA,1080,GasA,Ex,Y,SBrkr,2,3,1,Gd,9,Typ,1,Attchd,1993,Unf,3,678,TA,0,WD,Normal,228000
RL,73,8899,Pave,IR1,AllPub,Gilbert,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,None,TA,PConc,TA,1340,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,0,Attchd,2007,Fin,2,396,TA,0,New,Partial,181134
RL,74,7844,Pave,Reg,AllPub,Sawyer,Norm,1Fam,2Story,7,1978,1978,Hip,CompShg,HdBoard,BrkFace,TA,CBlock,TA,672,GasA,TA,Y,SBrkr,1,3,1,TA,6,Typ,1,Attchd,1978,Fin,2,440,TA,0,WD,Normal,149500
RL,86,22420,Pave,IR1,AllPub,Crawfor,Feedr,1Fam,2Story,6,1918,1950,Hip,CompShg,Wd Sdng,None,TA,BrkTil,TA,1370,GasW,TA,N,FuseA,2,4,1,TA,10,Typ,1,Detchd,1918,Unf,3,864,TA,0,WD,Normal,239000
RL,60,8160,Pave,Reg,AllPub,Edwards,Norm,1Fam,1.5Fin,6,1940,1950,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,756,GasA,Fa,N,FuseF,1,3,1,TA,7,Typ,0,Detchd,1940,Unf,1,240,TA,0,WD,AdjLand,126000
RL,65,8450,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,6,1968,1968,Gable,CompShg,VinylSd,None,TA,CBlock,TA,1056,GasA,Ex,Y,SBrkr,1,3,1,TA,6,Typ,1,Attchd,1968,Unf,1,304,TA,0,WD,Normal,142000
RM,78,7060,Pave,Reg,AllPub,Mitchel,Norm,Duplex,SFoyer,5,1997,1998,Gable,CompShg,VinylSd,BrkFace,Gd,PConc,Gd,1344,GasA,Ex,Y,SBrkr,2,2,2,TA,8,Typ,0,Attchd,1997,Fin,4,784,TA,0,WD,Alloca,206300
RL,NA,16635,Pave,IR1,AllPub,NWAmes,Norm,1Fam,1Story,7,1977,2000,Gable,CompShg,CemntBd,Stone,TA,CBlock,TA,1602,GasA,Gd,Y,SBrkr,2,3,1,Gd,8,Typ,1,Attchd,1977,Fin,2,529,TA,0,WD,Normal,215000
RL,100,21750,Pave,Reg,AllPub,Mitchel,Artery,1Fam,1Story,5,1954,1954,Hip,CompShg,HdBoard,None,TA,CBlock,TA,988,GasA,Ex,Y,FuseA,1,2,1,TA,4,Typ,0,Attchd,1954,RFn,2,520,TA,0,WD,Normal,113000
RL,80,9200,Pave,Reg,AllPub,NoRidge,Norm,1Fam,2Story,5,1998,1998,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1470,GasA,Gd,Y,SBrkr,2,4,1,Gd,8,Typ,1,Attchd,1998,Fin,3,696,TA,0,WD,Normal,315000
RL,72,9000,Pave,Reg,AllPub,NAmes,Norm,1Fam,1Story,5,1956,1956,Gable,CompShg,Wd Sdng,BrkFace,TA,CBlock,TA,1196,GasA,Gd,Y,FuseA,1,2,1,TA,6,Typ,1,Attchd,1956,RFn,1,297,TA,0,WD,Normal,139000
RM,60,3378,Pave,Reg,AllPub,OldTown,Norm,1Fam,2Story,8,1946,1992,Gable,CompShg,HdBoard,None,Gd,CBlock,TA,651,GasA,Gd,Y,SBrkr,1,3,1,TA,6,Typ,2,Detchd,1947,Unf,1,240,TA,0,WD,Normal,135000
RL,NA,12800,Pave,Reg,AllPub,SawyerW,Norm,1Fam,SLvl,5,1989,1989,Gable,CompShg,Wd Sdng,BrkFace,TA,PConc,TA,1518,GasA,Gd,Y,SBrkr,2,2,1,Gd,5,Typ,1,Attchd,1989,Fin,2,569,TA,0,WD,Normal,275000
RL,77,8593,Pave,IR1,AllPub,NAmes,Norm,1Fam,1Story,6,1957,1957,Hip,CompShg,MetalSd,None,TA,CBlock,TA,907,GasA,Ex,Y,SBrkr,1,3,1,TA,5,Typ,0,Detchd,1964,Unf,1,352,TA,0,WD,Normal,109008
RL,64,6762,Pave,Reg,AllPub,CollgCr,Norm,1Fam,1Story,5,2007,2007,Gable,CompShg,VinylSd,BrkFace,TA,PConc,TA,1208,GasA,Ex,Y,SBrkr,2,2,1,Gd,6,Typ,0,Attchd,2007,RFn,2,628,TA,0,New,Partial,195400
RL,130,11457,Pave,IR1,AllPub,Timber,Norm,1Fam,1Story,5,1988,1988,Gable,CompShg,HdBoard,None,TA,CBlock,TA,1392,GasA,TA,Y,SBrkr,2,3,1,Gd,6,Typ,1,Attchd,1988,Unf,2,576,TA,0,WD,Normal,175000
RM,21,1680,Pave,Reg,AllPub,BrDale,Norm,Twnhs,2Story,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,TA,CBlock,TA,483,GasA,TA,Y,SBrkr,1,2,1,TA,4,Typ,0,Detchd,1971,Unf,1,264,TA,0,COD,Abnorml,85400
RM,60,5586,Pave,IR1,AllPub,OldTown,Feedr,1Fam,1.5Fin,7,1920,1998,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,901,GasA,Gd,Y,SBrkr,1,4,1,TA,7,Typ,0,NA,NA,NA,0,0,NA,0,ConLD,Abnorml,79900
RM,24,1920,Pave,Reg,AllPub,BrDale,Norm,TwnhsE,2Story,5,1971,1971,Gable,CompShg,HdBoard,BrkFace,TA,CBlock,TA,765,GasA,Ex,Y,SBrkr,1,2,1,TA,6,Min1,0,Detchd,1971,Unf,2,440,TA,0,WD,Normal,122500
RL,100,10839,Pave,IR1,AllPub,Gilbert,Norm,1Fam,2Story,5,1997,1998,Gable,CompShg,VinylSd,None,TA,PConc,TA,926,GasA,Ex,Y,SBrkr,2,3,1,TA,7,Typ,1,Attchd,1997,Fin,2,470,TA,0,WD,Normal,181000
RM,21,1890,Pave,Reg,AllPub,MeadowV,Norm,Twnhs,SFoyer,7,1972,1972,Gable,CompShg,CemntBd,None,Gd,CBlock,TA,630,GasA,Gd,Y,SBrkr,1,1,1,TA,3,Typ,0,NA,NA,NA,0,0,NA,0,WD,Normal,81000
RL,43,10667,Pave,IR2,AllPub,CollgCr,PosN,1Fam,2Story,6,1996,1996,Gable,CompShg,VinylSd,None,TA,PConc,TA,799,GasA,Ex,Y,SBrkr,2,3,1,Gd,6,Typ,1,Attchd,1996,RFn,2,550,TA,0,ConLw,Normal,212000
RM,40,4400,Pave,Reg,AllPub,OldTown,Norm,1Fam,1.5Fin,8,1920,1950,Gable,CompShg,Stucco,None,TA,BrkTil,TA,648,GasA,TA,Y,FuseA,1,2,1,TA,6,Typ,0,Detchd,1990,Unf,2,440,TA,0,WD,Normal,116000
RM,50,6000,Pave,Reg,AllPub,BrkSide,Norm,1Fam,1.5Unf,7,1926,2004,Gable,CompShg,Wd Sdng,None,TA,PConc,TA,884,GasA,Gd,Y,SBrkr,1,2,1,TA,4,Typ,0,Detchd,1926,Unf,1,180,TA,0,WD,Normal,119000
RL,40,4280,Pave,Reg,AllPub,Crawfor,Norm,1Fam,1Story,6,1913,2002,Gable,CompShg,WdShing,None,TA,PConc,TA,440,GasA,TA,N,SBrkr,1,2,1,Gd,4,Typ,1,Detchd,1990,Unf,1,352,TA,0,WD,Normal,90350
RL,67,12354,Pave,Reg,AllPub,Edwards,Norm,1Fam,1.5Fin,8,1920,2000,Gable,CompShg,Wd Sdng,None,TA,BrkTil,Fa,684,GasA,Gd,Y,SBrkr,1,3,1,Gd,7,Typ,0,Detchd,2005,Unf,2,528,TA,0,ConLI,Normal,110000
RL,105,15431,Pave,Reg,AllPub,NridgHt,Norm,1Fam,1Story,5,2008,2008,Hip,CompShg,VinylSd,Stone,TA,PConc,TA,3094,GasA,Ex,Y,SBrkr,2,2,1,Ex,10,Typ,2,Attchd,2008,Fin,3,672,TA,0,WD,Normal,555000
RL,92,12108,Pave,Reg,AllPub,Edwards,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,VinylSd,BrkFace,TA,CBlock,TA,1440,GasA,TA,N,FuseF,2,4,2,Fa,8,Typ,0,NA,NA,NA,0,0,NA,0,WD,Normal,118000
RM,52,6240,Pave,Reg,AllPub,BrkSide,Norm,1Fam,1.5Fin,7,1930,1992,Gable,CompShg,MetalSd,None,TA,PConc,TA,1078,GasA,TA,Y,SBrkr,2,3,1,TA,8,Typ,1,Detchd,1930,Unf,2,360,TA,0,WD,Normal,162900
RL,53,3922,Pave,Reg,AllPub,Blmngtn,Norm,TwnhsE,1Story,5,2006,2007,Gable,CompShg,WdShing,BrkFace,TA,PConc,TA,1258,GasA,Ex,Y,SBrkr,2,2,1,Gd,6,Typ,1,Attchd,2007,Fin,3,648,TA,0,New,Partial,172500
RL,70,8750,Pave,Reg,AllPub,CollgCr,Norm,1Fam,2Story,5,1994,1995,Gable,CompShg,VinylSd,None,Gd,PConc,TA,915,GasA,Ex,Y,SBrkr,2,4,1,Gd,8,Typ,1,Attchd,1994,Unf,2,493,TA,0,WD,Normal,210000
RL,73,9855,Pave,Reg,AllPub,Edwards,Norm,1Fam,1Story,5,1956,1956,Hip,CompShg,Wd Sdng,None,TA,CBlock,TA,1436,GasA,Fa,Y,SBrkr,1,3,1,TA,7,Typ,1,Attchd,1956,Unf,2,480,TA,0,COD,Normal,127500
RL,137,16492,Pave,IR1,AllPub,NAmes,PosA,1Fam,1Story,6,1966,2002,Gable,CompShg,BrkFace,None,TA,CBlock,TA,1517,GasA,Ex,Y,SBrkr,2,2,1,Gd,6,Mod,1,Attchd,1966,Fin,2,578,TA,0,WD,Normal,190000
RL,NA,11214,Pave,IR1,AllPub,Gilbert,Norm,1Fam,2Story,5,1998,1999,Gable,CompShg,VinylSd,None,TA,PConc,TA,930,GasA,Gd,Y,SBrkr,2,4,1,Gd,10,Typ,1,Attchd,1998,Fin,2,431,TA,0,WD,Normal,199900
RM,50,8600,Pave,Reg,AllPub,IDOTRR,Norm,1Fam,1.5Fin,6,1937,1950,Gable,CompShg,MetalSd,None,TA,BrkTil,TA,780,GasA,TA,Y,SBrkr,2,3,1,TA,7,Typ,1,Detchd,1937,Unf,1,198,TA,0,WD,Normal,119500
RM,50,6000,Pave,Reg,AllPub,OldTown,Norm,1Fam,1.5Fin,7,1948,2002,Gable,CompShg,MetalSd,None,Gd,CBlock,TA,649,GasA,Ex,Y,SBrkr,1,2,1,TA,6,Typ,0,Detchd,1981,Unf,1,308,TA,0,WD,Normal,120000
RM,70,5684,Pave,Reg,AllPub,OldTown,Norm,1Fam,1Story,8,1930,2005,Hip,CompShg,Wd Sdng,None,TA,BrkTil,TA,813,GasA,Ex,Y,FuseA,1,2,1,Gd,5,Typ,0,Detchd,1932,Unf,1,270,Fa,0,WD,Normal,110000
RL,62,70761,Pave,IR1,AllPub,ClearCr,Norm,1Fam,1Story,5,1975,1975,Gable,WdShngl,Plywood,None,TA,CBlock,TA,1533,GasA,TA,Y,SBrkr,2,2,1,Gd,5,Typ,2,Attchd,1975,Unf,2,576,TA,0,WD,Normal,280000
